id,nombre,original,resultado,estado
1,Juan Perez,3101234567,+573101234567,VALIDO
2,Maria Lopez,+57 311 987 6543,+573119876543,VALIDO
3,Carlos Ruiz,312-456-7890,+573124567890,VALIDO
4,Ana Gomez,(601) 4567890,+576014567890,VALIDO
5,Luis Paez,313.555.2233,+573135552233,VALIDO
13,Raul Mendez,#3101234567,+573101234567,VALIDO
14,Diana Luna,311 000 0000,+573110000000,VALIDO
15,Oscar Prado,+573121112222,+573121112222,VALIDO
16,Ines Rojas,314 555 66 77,+573145556677,VALIDO
17,Hugo Ferro,573109998877,+573109998877,VALIDO
18,Rosa Gil,310 123 45 67,+573101234567,VALIDO
20,Marta Sol,312 456 7890!,+573124567890,VALIDO
6,Elena Mar,12345,Longitud insuficiente,INVALIDO
7,Pedro Santos,31012345678901,Exceso de dígitos,INVALIDO
8,Sofia Torres,310abc4567,Longitud insuficiente,INVALIDO
9,Jorge Vera,+1 555 123 4567,Exceso de dígitos,INVALIDO
10,Lucia Hernandez,00573104567890,Exceso de dígitos,INVALIDO
11,Mateo Bravo,315 1234567 ext 101,Exceso de dígitos,INVALIDO
12,Clara Klein,,Vacio o Nulo,INVALIDO
19,Fabio Castro,NULL,Vacio o Nulo,INVALIDO
